,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
385,Prescription refill ????,1,False,prescription refill ???? can’t figure out how to renew a prescription,Journey.1,2018-05-13 13:13:28,nan,nan,nan
386,Can’t navigate your app.,1,False,can’t navigate your app. help!!!!,GratefulGloM,2022-03-06 20:45:44,nan,nan,nan
387,"Buggy, amateurish, confusing",1,False,"buggy, amateurish, confusing. need to test and debug...",nonic20th,2019-12-09 22:12:39,nan,nan,nan
388,Mayo App,1,False,mayo app. this app is awful - can’t make head or tail of it.,Stocks free,2018-10-12 02:39:28,nan,nan,nan
389,Portal System & everything associated with The Epic System !,1,False,portal system & everything associated with the epic system ! see above,P. H. Kyle,2018-08-08 19:32:47,nan,nan,nan
390,Medicare for All,1,False,medicare for all. private health insurance should be abolished.,Ozzyman99,2020-08-08 19:44:31,nan,nan,nan
391,Anna,5,False,anna. awesome app,AEM1991,2021-09-19 20:55:20,nan,nan,nan
392,mayo clinic,1,False,mayo clinic. new and improved will not connect,Richard Lenderman,2021-09-26 15:26:48,nan,nan,nan
393,Mayo hospital,5,False,mayo hospital. love it,micka jones,2019-05-19 09:27:16,nan,nan,nan
394,"The magical souls international, LLC",5,False,"the magical souls international, llc. zak hoss",Zak_Hoss,2019-10-18 06:49:50,nan,nan,nan
395,Please help,1,False,please help. help with my app,llyrdy,2022-01-05 01:33:39,nan,nan,nan
396,Ms,5,False,ms. helpful,Jhumur Haqe,2019-12-19 11:30:28,nan,nan,nan
397,updated app,1,False,updated app. the new patient guide and app is horrible!,i miss my lolita1205,2018-07-03 15:28:55,lolita1205 - sorry you’re having trouble with the new changes.  We work on improving the app with every release.  Our 4.0 release was a pretty major change to the user experience so we would understand if that would cause some frustration.  If you email us with your username and a short description of the changes you don’t like - that will help us improve the app in future releases.  Our email is mcmobileapps@mayo.edu.  Thank you.,4133546.0,2018-07-07T16:46:48Z
398,Terrible,1,False,terrible. zero,ghgffffgg,2018-10-04 13:27:30,nan,nan,nan
399,App,1,False,app. your app is a joke,billybobtherev,2019-12-27 20:00:37,nan,nan,nan
400,"So Far, Impressed",4,False,"so far, impressed. my husband is at mayo for the first time and i discovered this app while we were trying to navigate the campus buildings and make appointments on time. i don't have much experience with the app just yet but so far i am impressed with the ease of use and the information it contains already about my husband's statistics and appointments. it even showed me a new appointment we didn't have on our printed schedule. i do understand some of the ""helpful"" criticisms in the other reviews, but i anticipate future improvements in the areas of ability to send messages to specific people (but maybe not since every ceo has a team of front people who sort out the necessary from the time-wasting) and in the area of billing. with the current structure, however, i am initially very impressed by its immediate usefulness to a new patient.",mizzaka,2016-09-27 13:42:35,nan,nan,nan
401,Mayo Clinic,4,False,mayo clinic. since i am not a patient certain features of this application are closed to me but just as a normal non affiliated user the mayo clinic can still be beneficial. for one the app can be used to view videos that focus on the treatment and technologies used by the prestigious facilities to treat patients. the app even allows users to request an appointment. the app can also be used to get directions to any of the three clinics in the united states. i did not see a daily health news section as a non user but since the app allows you the option to create an account that feature as well as others will most likely become available.,D. Hill,2016-10-17 11:10:49,nan,nan,nan
402,Love the Apple watch app,5,False,"love the apple watch app. simple and to the point. i flew to mayo clinic from out of state for a series of tests and exams for a surgery. the watch app provided just enough information for each appointment and where i needed to go for these appointments.  mayo clinic building complex is pretty big and can be a bit overwhelming. the watch app made my mayo experience a sweat-free one. if i could be extra picky, then it would be to bring users directly into the appointment swipe view if it is the only thing that they have. i have to tap the only button ""appointments"" on the home screen every time i come into the watch app, even though it was the only option available to me.  i also love the support for touch id on the phone app for signing in.",vinpsf,2015-05-28 16:41:35,nan,nan,nan
403,What an app should be!,5,False,what an app should be! like the title says this is what an app should be. this app compliments your visit to mayo clinic both before and after. it allows you see all of your health record and to communicate with your care teams - it's a must for anyone visiting a mayo clinic site. you can really tell that the team that works on this app takes a lot of pride in developing a quality product - kudos to the team.   p.s. i wish all apps that were put out by mayo clinic were made this well. i downloaded both the diet app and the book app and they both were done very poorly. it looks like those apps were not developed by mayo clinic and subsequently not done very well. i expect more out of an institution like mayo clinic.,BruceBrody,2017-01-17 22:16:39,nan,nan,nan
404,STAY away - lost data & messaging broken,2,False,"stay away - lost data & messaging broken. for over a year now, the mayo clinic ipad application will not let you create a message.  it opens the keyboard and you can type away - but it never appears on the screen.  there are also cases where messages from the clinic have the entire message stripped off, so all you can see is the title and sender.  these messages appear fine in their web version.  i've seen this on ipad air v1/2 and older ipads.  it is across all the current ios updates from today 10 june 2015 back a full year, and the latest app releases going back a year.  i've even called their it group for help, which they said 'would be investigated'  this is just very basic functionality.  the fact they miss this in testing - repeatedly - makes me question the accuracy of everything else they are reporting.  missing part or all of a message from your physicians can be life threatening.  for me, it messed up post spine surgery care.   that's not trivial.  my advice is to stay away and use the web interface, which is accurate, has more functionality, and extremely robust.  i suppose this was out-sourced off country to save money, but shame on mayo for not testing their sw better and shame on them for letting it slide.",untakennickname337,2015-06-11 17:14:00,nan,nan,nan
405,Phenomenal. Mayo never ceases to be the best,5,False,"phenomenal. mayo never ceases to be the best. i normally don't take time to send feedback or reviews, but i have to say (given, i'm biased, having worked for mayo) this app is phenomenal. sure, there are little things to improve (e.g., it would be nice to have information to propagate to the health app's emergency card, but i realize this probably gets tangled in hipaa to some degree), but this app and mayo's approach are clearly the future of healthcare. as someone whose career is majorly directed toward trying to develop these same technological advances for mental health and illness and self-monitoring and treatment, i wholly appreciate this app both as a consumer and professional. thank you!",whatisakeagan,2014-10-02 07:17:29,nan,nan,nan
406,Awesome App,5,False,"awesome app. i read through a few reviews and it appears that others have already expressed my joy with the mayo app.  it is so intuitive and has every feature i could think of with the exception of being able to print my vitals from mobile app. i don't see an option for printing. ??? note:  for the reviewer (inconsistent) that is having issues with log in, connection, etc., i have never experienced these problems on my iphone or ipad, but i can imagine the frustration.",Docs Christian wife,2016-04-13 17:02:45,nan,nan,nan
407,Good App When It Works,2,False,"good app when it works. i believe the app has good intentions but still needs to improve. i can not send messages more times than not, i can't access er records which should be part of notes and documents as there is pertinent patient information in these visits, and it takes too long for radiology and pathology reports to show up, after  they have been finalized.  more information should be shown related to labs when there are notes related to them. mayo has greatly improved in the transparency process, but still could improve. the surgical side of mayo outshines the medical side  in all aspects of patient information, speed of contact, and assistance when needed. i've had first hand experience with this.",M&PW,2016-07-20 22:12:45,nan,nan,nan
408,Great,5,False,"great. this app is the most comprehensive patient portal i have ever seen. mayo gives you access to everything, doc notes, vitals, meds, and even the images from radiology scans! while i was in the mayo er two days ago i was able to see the results of my blood work on the app even before they came back in and told me them.   very helpful app in managing your appointments and everything you have going with mayo. it integrates with your calendar to save appointments if you want it too as well.",Bnl0,2015-02-11 14:48:48,nan,nan,nan
409,Wonderful app that seems to keep getting better,5,False,"wonderful app that seems to keep getting better. the ability to see appointments, reports and labs and to provide feedback to the various care teams advances the mayo lead over other providers by a huge amount. for those of us that wish to share the results with others, it has been made easy. feedback to doctors and staff is simplified.  labs results plotted over time makes it amazingly easy to observe trends and treatment effects. the app is truly transformative.",*Dick*,2016-12-14 21:01:05,nan,nan,nan
410,Back to the best medical facility app now that ios9 bug is fixed,5,False,back to the best medical facility app now that ios9 bug is fixed. this app is the best app i have ever seen for keeping track of medical appointments and can even see your x-rays and other scans. i would still fire their app developer for not being ready for ios9 upgrade. i depend on this app for my appointments and with it down it is very frustrating. but it's working again and is actually something that makes me want to go to mayo over closer hospitals,mletnau,2015-09-28 16:36:46,nan,nan,nan
